p_i,p_m,diff_p^(n-2),dp^(n-1),diff_p^(n-1),dp^(n),diff_p^(n),target
1.12201845430196,588222.17115309,416601.959357757,0.4496567043400137,414983.19522213296,0.4466594337386131,413375.22126067395,0.4437201149344199
1.12201845430196,589809.183619778,414983.19522213296,0.4466594337386131,413375.22126067395,0.4437201149344199,411777.82884691004,0.44083679630223843
1.12201845430196,591386.0110184139,413375.22126067395,0.4437201149344199,411777.82884691004,0.44083679630223843,410190.816380222,0.43800761073219796
1.12201845430196,592952.841793678,411777.82884691004,0.44083679630223843,410190.816380222,0.43800761073219796,408613.98898158607,0.4352307709066857
1.12201845430196,594509.858227363,410190.816380222,0.43800761073219796,408613.98898158607,0.4352307709066857,407047.158206322,0.43250456491249173
1.12201845430196,596057.2366951089,408613.98898158607,0.4352307709066857,407047.158206322,0.43250456491249173,405490.141772637,0.42982735215165624
1.12201845430196,597595.147909446,407047.158206322,0.43250456491249173,405490.141772637,0.42982735215165624,403942.76330489106,0.4271975595380839
1.12201845430196,599123.7571500479,405490.141772637,0.42982735215165624,403942.76330489106,0.4271975595380839,402404.85209055396,0.4246136779449686
1.12201845430196,600643.224482062,403942.76330489106,0.4271975595380839,402404.85209055396,0.4246136779449686,400876.2428499521,0.42207425889280986
1.12201845430196,602153.704963292,402404.85209055396,0.4246136779449686,400876.2428499521,0.42207425889280986,399356.77551793796,0.41957791145276535
1.12201845430196,603655.348840969,400876.2428499521,0.42207425889280986,399356.77551793796,0.41957791145276535,397846.295036708,0.4171232993547326
1.12201845430196,605148.301738763,399356.77551793796,0.41957791145276535,397846.295036708,0.4171232993547326,396344.65115903097,0.41470913827610073
1.12201845430196,606632.704834655,397846.295036708,0.4171232993547326,396344.65115903097,0.41470913827610073,394851.698261237,0.4123341933033468
1.12201845430196,608108.6950302579,396344.65115903097,0.41470913827610073,394851.698261237,0.4123341933033468,393367.29516534496,0.40999727655635476
1.12201845430196,609576.405112079,394851.698261237,0.4123341933033468,393367.29516534496,0.40999727655635476,391891.3049697421,0.4076972449502985
1.12201845430196,611035.963905251,393367.29516534496,0.40999727655635476,391891.3049697421,0.4076972449502985,390423.594887921,0.4054329981033354
1.12201845430196,612487.496420145,391891.3049697421,0.4076972449502985,390423.594887921,0.4054329981033354,388964.036094749,0.4032034763594533
1.12201845430196,613931.123992322,390423.594887921,0.4054329981033354,388964.036094749,0.4032034763594533,387512.50357985497,0.40100765893804946
1.12201845430196,615366.964416182,388964.036094749,0.4032034763594533,387512.50357985497,0.40100765893804946,386068.876007678,0.39884456218333475
1.12201845430196,616795.132072686,387512.50357985497,0.40100765893804946,386068.876007678,0.39884456218333475,384633.035583818,0.39671323791776864
1.12201845430196,618215.738051487,386068.876007678,0.39884456218333475,384633.035583818,0.39671323791776864,383204.867927314,0.39461277188917543
1.12201845430196,619628.890267779,384633.035583818,0.39671323791776864,383204.867927314,0.39461277188917543,381784.261948513,0.39254228230332955
1.12201845430196,621034.693574155,383204.867927314,0.39461277188917543,381784.261948513,0.39254228230332955,380371.109732221,0.39050091843777207
1.12201845430196,622433.249867741,381784.261948513,0.39254228230332955,380371.109732221,0.39050091843777207,378965.306425845,0.3884878593294545
1.25892541179417,370926.42625269,0.0,0.0,0.0,0.0,999998.7410745881,103.03476870202174
1.25892541179417,382503.05884448,0.0,0.0,999998.7410745881,103.03476870202174,629073.57374731,3.215731275497221
1.25892541179417,391386.12146207603,999998.7410745881,103.03476870202174,629073.57374731,3.215731275497221,617496.94115552,2.467517393776668
1.25892541179417,398874.88966239797,629073.57374731,3.215731275497221,617496.94115552,2.467517393776668,608613.878537924,2.080213388978316
1.25892541179417,405472.626893755,617496.94115552,2.467517393776668,608613.878537924,2.080213388978316,601125.110337602,1.832704786488062
1.25892541179417,411437.43729161297,608613.878537924,2.080213388978316,601125.110337602,1.832704786488062,594527.373106245,1.6568917771827707
1.25892541179417,416922.646551458,601125.110337602,1.832704786488062,594527.373106245,1.6568917771827707,588562.562708387,1.5236692388458404
1.25892541179417,422028.15484597604,594527.373106245,1.6568917771827707,588562.562708387,1.5236692388458404,583077.3534485421,1.4181967484772353
1.25892541179417,426823.353072106,588562.562708387,1.5236692388458404,583077.3534485421,1.4181967484772353,577971.845154024,1.3319995072583293
1.25892541179417,431358.764319535,583077.3534485421,1.4181967484772353,577971.845154024,1.3319995072583293,573176.646927894,1.259836457619159
1.25892541179417,435672.52943996,577971.845154024,1.3319995072583293,573176.646927894,1.259836457619159,568641.235680465,1.1982680890069524
1.25892541179417,439794.28008117,573176.646927894,1.259836457619159,568641.235680465,1.1982680890069524,564327.47056004,1.1449307336694456
1.25892541179417,443747.58073711296,568641.235680465,1.1982680890069524,564327.47056004,1.1449307336694456,560205.71991883,1.0981390710952594
1.25892541179417,447551.537408897,564327.47056004,1.1449307336694456,560205.71991883,1.0981390710952594,556252.419262887,1.056654631051125
